state,year_or_session,bill_code,legiscan_title,download_link,filename,empath_environment,empath_energy,empath_social,empath_governance,empath_immigration
Iowa,88,HF 2643,Iowa House Bill 2643,https://legiscan.com/IA/text/HF2643/id/2195575/Iowa-2019-HF2643-Enrolled.html,iowa_general_assembly_88_HF2643.txt,0.0,0.0,0.0,0.0,0.0
Iowa,88,SF 2373,Iowa Senate Bill 2373,https://legiscan.com/IA/text/SF2373/id/2194968/Iowa-2019-SF2373-Enrolled.html,iowa_general_assembly_88_SF2373.txt,0.0,0.0,0.0,0.0,0.0
Iowa,88,HF 2556,Iowa House Bill 2556,https://legiscan.com/IA/text/HF2556/id/2194496/Iowa-2019-HF2556-Enrolled.html,iowa_general_assembly_88_HF2556.txt,0.0,0.0,0.0,0.0,0.0
Iowa,88,SF 2284,Iowa Senate Bill 2284,https://legiscan.com/IA/text/SF2284/id/2193092/Iowa-2019-SF2284-Enrolled.html,iowa_general_assembly_88_SF2284.txt,0.0,0.0,0.0,0.0,0.0
Iowa,88,SF 2418,Iowa Senate Bill 2418,https://legiscan.com/IA/text/SF2418/id/2192599/Iowa-2019-SF2418-Introduced.html,iowa_general_assembly_88_SF2418.txt,0.0,0.0,0.0,0.0,0.0
Iowa,88,HF 2641,Iowa House Bill 2641,https://legiscan.com/IA/text/HF2641/id/2195574/Iowa-2019-HF2641-Enrolled.html,iowa_general_assembly_88_HF2641.txt,0.0,0.0,0.0,0.0,0.0
Iowa,88,SF 458,Iowa Senate Bill 458,https://legiscan.com/IA/text/SF458/id/2194206/Iowa-2019-SF458-Enrolled.html,iowa_general_assembly_88_SF458.txt,0.0,0.0,0.0,0.0,0.0
Iowa,88,HF 2627,Iowa House Bill 2627,https://legiscan.com/IA/text/HF2627/id/2194555/Iowa-2019-HF2627-Enrolled.html,iowa_general_assembly_88_HF2627.txt,0.0,0.0,0.0,0.0,0.0
Iowa,88,HF 2642,Iowa House Bill 2642,https://legiscan.com/IA/text/HF2642/id/2194996/Iowa-2019-HF2642-Enrolled.html,iowa_general_assembly_88_HF2642.txt,0.0,0.0,0.0,0.0,0.0
Iowa,88,SF 2419,Iowa Senate Bill 2419,https://legiscan.com/IA/text/SF2419/id/2192923/Iowa-2019-SF2419-Introduced.html,iowa_general_assembly_88_SF2419.txt,0.0,0.0,0.0,0.0,0.0
