state,session,bill,legiscan_link,legiscan_title,summary
Nebraska,2017-2018,LB1022,https://legiscan.com/NE/bill/LB1022/2018,NE LB1022 | 2017-2018 | 105th Legislature | LegiScan,Adopt the Irrigation Tax Act and change the valuation of agricultural land for property tax purposes
Nebraska,2017-2018,LB1023,https://legiscan.com/NE/bill/LB1023/2018,NE LB1023 | 2017-2018 | 105th Legislature | LegiScan,Change sunset dates on certain tax incentive programs
Nebraska,2017-2018,LB1024,https://legiscan.com/NE/bill/LB1024/2018,NE LB1024 | 2017-2018 | 105th Legislature | LegiScan,Change references from Big Twelve Conference to Big Ten Conference in provisions requiring a stipend or restricting hours of participation for intercollegiate athletes
Nebraska,2017-2018,LB1025,https://legiscan.com/NE/bill/LB1025/2018,NE LB1025 | 2017-2018 | 105th Legislature | LegiScan,Create the Building Codes Advisory Committee and change building code provisions
Nebraska,2017-2018,LB1026,https://legiscan.com/NE/bill/LB1026/2018,NE LB1026 | 2017-2018 | 105th Legislature | LegiScan,"Authorize issuance of highway bonds, create a fund, and change existing highway funding provisions"
Nebraska,2017-2018,LB1027,https://legiscan.com/NE/bill/LB1027/2018,NE LB1027 | 2017-2018 | 105th Legislature | LegiScan,Provide for restoration of voting rights upon completion of a felony sentence or probation for a felony
Nebraska,2017-2018,LB1028,https://legiscan.com/NE/bill/LB1028/2018,NE LB1028 | 2017-2018 | 105th Legislature | LegiScan,Adopt the Abandoned and Dilapidated Housing Act
Nebraska,2017-2018,LB1029,https://legiscan.com/NE/bill/LB1029/2018,NE LB1029 | 2017-2018 | 105th Legislature | LegiScan,Change time for acceptance of a power of attorney
Nebraska,2017-2018,LB103,https://legiscan.com/NE/bill/LB103/2018,NE LB103 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to accelerated or differentiated curriculum and require establishment of focus groups
Nebraska,2017-2018,LB103,https://legiscan.com/NE/bill/LB103/2017,NE LB103 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to accelerated or differentiated curriculum and require establishment of focus groups
Nebraska,2017-2018,LB1030,https://legiscan.com/NE/bill/LB1030/2018,NE LB1030 | 2017-2018 | 105th Legislature | LegiScan,Change the sales tax sourcing rules for certain motor vehicles and trailers
Nebraska,2017-2018,LB1031,https://legiscan.com/NE/bill/LB1031/2018,NE LB1031 | 2017-2018 | 105th Legislature | LegiScan,"Change excavation notification and marking requirements and provide for large project planning meetings, rulemaking authority, and cost allocation under the One-Call Notification System Act"
Nebraska,2017-2018,LB1033,https://legiscan.com/NE/bill/LB1033/2018,NE LB1033 | 2017-2018 | 105th Legislature | LegiScan,Eliminate learning communities
Nebraska,2017-2018,LB1034,https://legiscan.com/NE/bill/LB1034/2018,NE LB1034 | 2017-2018 | 105th Legislature | LegiScan,Change credentialing provisions for health care professions and occupations and licensure provisions for health care facilities and services and school-age child care programs and adopt the EMS Personnel Licensure Interstate Compact and the Psychology Interjurisdictional Compact
Nebraska,2017-2018,LB1035,https://legiscan.com/NE/bill/LB1035/2018,NE LB1035 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to the Stroke System of Care Act
Nebraska,2017-2018,LB1036,https://legiscan.com/NE/bill/LB1036/2018,NE LB1036 | 2017-2018 | 105th Legislature | LegiScan,Change the expenditure limit for a recognition dinner under the Local Government Miscellaneous Expenditure Act
Nebraska,2017-2018,LB1037,https://legiscan.com/NE/bill/LB1037/2018,NE LB1037 | 2017-2018 | 105th Legislature | LegiScan,Change provisions of the Nebraska Political Accountability and Disclosure Act relating to a potential conflict of interest by an elected office holder of certain cities or villages or a school district
Nebraska,2017-2018,LB1039,https://legiscan.com/NE/bill/LB1039/2018,NE LB1039 | 2017-2018 | 105th Legislature | LegiScan,Increase the amount that may be required for a pet deposit under the Uniform Residential Landlord and Tenant Act
Nebraska,2017-2018,LB104,https://legiscan.com/NE/bill/LB104/2017,NE LB104 | 2017-2018 | 105th Legislature | LegiScan,Adopt the Health Care Surrogacy Act
Nebraska,2017-2018,LB104,https://legiscan.com/NE/bill/LB104/2018,NE LB104 | 2017-2018 | 105th Legislature | LegiScan,Adopt the Health Care Surrogacy Act
Nebraska,2017-2018,LB1040,https://legiscan.com/NE/bill/LB1040/2018,NE LB1040 | 2017-2018 | 105th Legislature | LegiScan,Provide for commemorative certificates of nonviable birth
Nebraska,2017-2018,LB1043,https://legiscan.com/NE/bill/LB1043/2018,NE LB1043 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to reimbursement of common and contract carriers for transportation costs associated with certain agency clients as prescribed
Nebraska,2017-2018,LB1045,https://legiscan.com/NE/bill/LB1045/2018,NE LB1045 | 2017-2018 | 105th Legislature | LegiScan,Adopt the Nebraska Excellence Fund Tax Credit Act
Nebraska,2017-2018,LB1047,https://legiscan.com/NE/bill/LB1047/2018,NE LB1047 | 2017-2018 | 105th Legislature | LegiScan,Change provisions under the Nebraska Uniform Power of Attorney Act relating to banks and other financial institutions
Nebraska,2017-2018,LB1048,https://legiscan.com/NE/bill/LB1048/2018,NE LB1048 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to the personal exemption credit
Nebraska,2017-2018,LB1049,https://legiscan.com/NE/bill/LB1049/2018,NE LB1049 | 2017-2018 | 105th Legislature | LegiScan,Redefine low-speed vehicle
Nebraska,2017-2018,LB105,https://legiscan.com/NE/bill/LB105/2018,NE LB105 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to personal property exemptions in cases of forced sale on execution or attachment
Nebraska,2017-2018,LB105,https://legiscan.com/NE/bill/LB105/2017,NE LB105 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to personal property exemptions in cases of forced sale on execution or attachment
Nebraska,2017-2018,LB1050,https://legiscan.com/NE/bill/LB1050/2018,NE LB1050 | 2017-2018 | 105th Legislature | LegiScan,Provide an adjustment to income for certain charitable contributions
Nebraska,2017-2018,LB1051,https://legiscan.com/NE/bill/LB1051/2018,NE LB1051 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to family member visitation
Nebraska,2017-2018,LB1052,https://legiscan.com/NE/bill/LB1052/2018,NE LB1052 | 2017-2018 | 105th Legislature | LegiScan,Require instruction and teacher education related to dyslexia
Nebraska,2017-2018,LB1053,https://legiscan.com/NE/bill/LB1053/2018,NE LB1053 | 2017-2018 | 105th Legislature | LegiScan,Provide for a 10-year strategic plan by the Legislature's Planning Committee
Nebraska,2017-2018,LB1054,https://legiscan.com/NE/bill/LB1054/2018,NE LB1054 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to hearings before the Nebraska Power Review Board and electric generation using wind
Nebraska,2017-2018,LB1055,https://legiscan.com/NE/bill/LB1055/2018,NE LB1055 | 2017-2018 | 105th Legislature | LegiScan,Create the Intern Nebraska Cash Fund and state intent regarding appropriations
Nebraska,2017-2018,LB1056,https://legiscan.com/NE/bill/LB1056/2018,NE LB1056 | 2017-2018 | 105th Legislature | LegiScan,Provide for collection of data on student disciplinary actions
Nebraska,2017-2018,LB1057,https://legiscan.com/NE/bill/LB1057/2018,NE LB1057 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to prescription drug monitoring
Nebraska,2017-2018,LB1059,https://legiscan.com/NE/bill/LB1059/2018,NE LB1059 | 2017-2018 | 105th Legislature | LegiScan,"Prohibit certain appropriations to the Supreme Court, prohibit certain entities from accepting appropriations, and change provisions relating to the source of certain funds"
Nebraska,2017-2018,LB1060,https://legiscan.com/NE/bill/LB1060/2018,NE LB1060 | 2017-2018 | 105th Legislature | LegiScan,Adopt the Healthy Kids Act and require tests for lead-based hazards in housing
Nebraska,2017-2018,LB1061,https://legiscan.com/NE/bill/LB1061/2018,NE LB1061 | 2017-2018 | 105th Legislature | LegiScan,State intent relating to appropriations relating to a grant program as prescribed
Nebraska,2017-2018,LB1062,https://legiscan.com/NE/bill/LB1062/2018,NE LB1062 | 2017-2018 | 105th Legislature | LegiScan,State intent relating to appropriations for the Tobacco Prevention and Control Program
Nebraska,2017-2018,LB1063,https://legiscan.com/NE/bill/LB1063/2018,NE LB1063 | 2017-2018 | 105th Legislature | LegiScan,Provide funding to assist victims of traumatic brain injury and increase certain driver's license fees as a source of such funding
Nebraska,2017-2018,LB1067,https://legiscan.com/NE/bill/LB1067/2018,NE LB1067 | 2017-2018 | 105th Legislature | LegiScan,Authorize a special tourism surcharge under the Business Improvement District Act
Nebraska,2017-2018,LB1068,https://legiscan.com/NE/bill/LB1068/2018,NE LB1068 | 2017-2018 | 105th Legislature | LegiScan,"Provide for seventeen-year olds to vote in special elections, provide requirements for adjusting political subdivision boundaries, and change voter registration, special election, recall, and initiative and referendum provisions"
Nebraska,2017-2018,LB1069,https://legiscan.com/NE/bill/LB1069/2018,NE LB1069 | 2017-2018 | 105th Legislature | LegiScan,Change provisions related to the Committee on Americanism
Nebraska,2017-2018,LB107,https://legiscan.com/NE/bill/LB107/2018,NE LB107 | 2017-2018 | 105th Legislature | LegiScan,"Prohibit sexual assault of a patient, client, or student as prescribed"
