Bill,assembly_number,category
HF 773,88,
HSB 179,88,
SF 598,88,
HF 780,88,
HF 781,88,
SF 614,88,
HSB 250,88,
HF 745,88,
SF 337,88,
SF 322,88,
HF 485,88,
HF 778,88,
HF 729,88,
SF 616,88,
SSB 1259,88,
HF 776,88,
HF 775,88,
HSB 258,88,
SF 632,88,
SF 608,88,
HF 537,88,
SF 401,88,
HF 765,88,
SF 611,88,
HF 535,88,
SSB 1256,88,
SSB 1257,88,
HF 690,88,
HF 732,88,
HSB 256,88,
SSB 1249,88,
SF 444,88,
SF 603,88,
HF 748,88,
SF 617,88,
SF 618,88,
SF 208,88,
SF 623,88,
SF 271,88,
SF 491,88,
SF 548,88,
SSB 1221,88,
SF 597,88,
SF 409,88,
HF 774,88,
HSB 255,88,
SF 227,88,
SF 570,88,
HSB 251,88,
HSB 252,88,
HF 674,88,
SF 563,88,
HF 754,88,
SSB 1246,88,
SF 607,88,
HSB 165,88,
HF 756,88,
SSB 1253,88,
HF 721,88,
SF 540,88,
HF 692,88,
HF 593,88,
HF 358,88,
HF 356,88,
HF 357,88,
HF 227,88,
HF 752,88,
SF 561,88,
HF 677,88,
HF 750,88,
HSB 254,88,
SF 366,88,
SF 534,88,
SF 565,88,
SSB 1168,88,
HF 769,88,
HF 701,88,
HSB 253,88,
SSB 1254,88,
SSB 1255,88,
SSB 1097,88,
HSB 15,88,
HSB 204,88,
HF 1,88,
SR 16,88,
SSB 1196,88,
HF 267,88,
HF 655,88,
SF 314,88,
SF 516,88,
HF 725,88,
HF 761,88,
HF 566,88,
SSB 1193,88,
HF 753,88,
HF 606,88,
SF 460,88,
SF 283,88,
HF 418,88,
SF 549,88,
HF 292,88,
HF 592,88,
SSB 1250,88,
SSB 1251,88,
HF 755,88,
SF 368,88,
SF 437,88,
SF 394,88,
HF 734,88,
HF 680,88,
SF 481,88,
HF 483,88,
SF 167,88,
HF 695,88,
HF 694,88,
SF 448,88,
SF 523,88,
SSB 1248,88,
SF 600,88,
HSB 248,88,
HF 727,88,
SF 513,88,
HR 18,88,
HSB 185,88,
HSB 249,88,
HF 731,88,
HF 647,88,
SF 192,88,
SF 500,88,
HF 299,88,
SF 346,88,
HF 733,88,
HF 311,88,
HF 726,88,
HF 532,88,
SF 567,88,
HF 666,88,
HSB 246,88,
SF 388,88,
HF 590,88,
SF 214,88,
SF 589,88,
HF 685,88,
SF 341,88,
SF 334,88,
SF 594,88,
HF 718,88,
HF 723,88,
HF 735,88,
HF 741,88,
SSB 1243,88,
HF 115,88,
SF 12,88,
SSB 1007,88,
SSB 1017,88,
HF 98,88,
HF 116,88,
SJR 18,88,
HF 310,88,
HF 676,88,
SF 533,88,
SF 569,88,
HF 477,88,
SF 228,88,
HF 623,88,
SF 435,88,
SF 555,88,
HF 264,88,
HF 698,88,
SSB 1245,88,
HF 486,88,
HF 642,88,
HF 478,88,
HF 629,88,
SF 520,88,
SF 275,88,
SF 413,88,
SF 538,88,
SF 162,88,
SF 479,88,
SF 554,88,
SF 592,88,
HF 598,88,
HF 724,88,
HF 640,88,
SF 602,88,
HF 648,88,
SF 184,88,
HF 693,88,
HF 624,88,
HF 691,88,
HF 710,88,
SF 531,88,
SF 509,88,
HF 747,88,
HF 683,88,
HF 487,88,
SF 367,88,
HF 728,88,
SF 377,88,
HF 499,88,
HF 708,88,
SF 514,88,
HF 736,88,
SSB 1247,88,
SF 521,88,
SF 203,88,
HF 650,88,
HF 743,88,
HF 699,88,
HF 303,88,
SF 385,88,
SF 511,88,
SF 369,88,
HF 12,88,
HF 560,88,
SF 304,88,
SF 539,88,
HF 437,88,
HF 597,88,
HF 652,88,
HF 661,88,
HF 715,88,
SF 319,88,
SF 577,88,
SSB 1185,88,
SF 536,88,
HF 224,88,
HF 423,88,
HF 659,88,
SF 321,88,
SF 412,88,
SF 507,88,
SF 484,88,
SF 103,88,
SSB 1166,88,
HF 573,88,
HF 722,88,
SF 209,88,
SF 473,88,
HF 425,88,
SF 588,88,
SF 488,88,
SF 230,88,
SF 568,88,
SSB 1201,88,
SJR 19,88,
SF 596,88,
HF 675,88,
HF 678,88,
HF 681,88,
HF 684,88,
HF 686,88,
HF 688,88,
HF 702,88,
HF 712,88,
HF 713,88,
HF 714,88,
SF 580,88,
SF 584,88,
SF 585,88,
SF 590,88,
HF 278,88,
HF 321,88,
HF 290,88,
SF 226,88,
SF 564,88,
HF 288,88,
SF 210,88,
HF 533,88,
SF 542,88,
SF 595,88,
SF 131,88,
SF 528,88,
SF 296,88,
SF 544,88,
HF 517,88,
SF 140,88,
HF 612,88,
SF 245,88,
SF 445,88,
SSB 1233,88,
SSB 1241,88,
SF 188,88,
SF 475,88,
HF 738,88,
HF 151,88,
HF 351,88,
HF 53,88,
HF 544,88,
SF 515,88,
SF 545,88,
HF 670,88,
HSB 214,88,
HF 719,88,
HF 673,88,
HSB 247,88,
SF 559,88,
SF 463,88,
HF 638,88,
HF 668,88,
HF 641,88,
SF 560,88,
SF 133,88,
SF 164,88,
SF 246,88,
SF 274,88,
HF 601,88,
HF 263,88,
SF 220,88,
HSB 244,88,
HF 720,88,
SF 41,88,
HF 503,88,
SSB 1189,88,
SF 519,88,
HF 649,88,
HF 329,88,
SF 417,88,
HSB 194,88,
HF 327,88,
SF 510,88,
SF 505,88,
SF 472,88,
SF 237,88,
HF 625,88,
SF 541,88,
HF 707,88,
HF 386,88,
SF 587,88,
HF 689,88,
HF 672,88,
SF 449,88,
SF 527,88,
SF 530,88,
SF 427,88,
SF 323,88,
HF 660,88,
HF 589,88,
HF 260,88,
HF 628,88,
SF 506,88,
SF 582,88,
HF 711,88,
HSB 205,88,
SF 512,88,
SF 525,88,
SF 547,88,
HF 626,88,
HF 633,88,
HF 645,88,
SF 486,88,
SF 497,88,
SF 498,88,
SJR 20,88,
HF 611,88,
HF 622,88,
SF 452,88,
SF 480,88,
SSB 1237,88,
HCR 10,88,
HF 541,88,
HF 558,88,
HF 572,88,
SCR 7,88,
SF 411,88,
SF 434,88,
SSB 1218,88,
HSB 139,88,
HF 570,88,
HF 667,88,
HF 571,88,
SF 331,88,
SF 384,88,
SF 474,88,
SF 433,88,
HF 343,88,
HF 345,88,
HF 388,88,
HF 600,88,
HF 387,88,
HF 500,88,
HF 643,88,
HSB 218,88,
SF 187,88,
SSB 1217,88,
HF 253,88,
HF 585,88,
SF 343,88,
SF 428,88,
SF 429,88,
HF 562,88,
HSB 240,88,
HF 342,88,
HF 390,88,
SF 266,88,
HF 482,88,
SF 303,88,
SSB 1227,88,
HSB 236,88,
SF 518,88,
SF 243,88,
HF 665,88,
SSB 1234,88,
SCR 8,88,
HF 617,88,
HF 618,88,
HF 630,88,
HF 605,88,
HF 635,88,
HF 671,88,
HF 2,88,
HF 238,88,
HF 309,88,
HF 371,88,
HF 416,88,
HF 447,88,
SSB 1225,88,
SF 524,88,
SF 526,88,
SF 532,88,
SF 462,88,
SF 464,88,
SF 487,88,
SF 502,88,
SF 102,88,
SF 154,88,
SF 173,88,
SF 174,88,
SF 182,88,
SF 229,88,
SF 279,88,
HF 580,88,
HSB 238,88,
SF 396,88,
HSB 197,88,
HF 145,88,
HF 538,88,
HSB 233,88,
SF 292,88,
SF 399,88,
HF 471,88,
HSB 134,88,
SF 419,88,
SF 421,88,
SF 425,88,
SF 467,88,
SF 477,88,
HF 656,88,
SF 552,88,
SF 492,88,
HR 12,88,
SSB 1240,88,
HF 591,88,
HF 610,88,
SF 424,88,
HF 627,88,
SF 493,88,
SF 494,88,
SSB 1216,88,
HSB 223,88,
HSB 68,88,
HF 619,88,
SF 485,88,
HF 548,88,
HSB 237,88,
HSB 241,88,
HF 646,88,
HF 479,88,
SSB 1231,88,
HSB 172,88,
SF 256,88,
HF 504,88,
SF 348,88,
SF 517,88,
HF 512,88,
HF 466,88,
HSB 245,88,
SF 216,88,
HSB 232,88,
HF 604,88,
HSB 216,88,
SF 499,88,
HF 637,88,
HF 634,88,
HF 644,88,
HF 355,88,
SSB 1220,88,
SF 482,88,
SF 468,88,
HSB 239,88,
SSB 1238,88,
SF 451,88,
HF 602,88,
SSB 1136,88,
HF 621,88,
HSB 243,88,
SF 405,88,
HF 583,88,
SSB 1229,88,
SF 395,88,
HF 574,88,
HF 575,88,
SSB 1222,88,
SSB 1230,88,
SF 387,88,
SF 461,88,
HF 549,88,
HF 518,88,
HSB 227,88,
SSB 1134,88,
HSB 140,88,
SF 68,88,
HSB 222,88,
HSB 225,88,
HSB 226,88,
HF 553,88,
SSB 1223,88,
HF 595,88,
HF 608,88,
HSB 242,88,
HF 568,88,
SF 466,88,
SSB 1158,88,
SF 450,88,
SF 456,88,
SF 465,88,
SSB 1195,88,
HF 561,88,
HSB 230,88,
SSB 1232,88,
HF 596,88,
SF 390,88,
HF 319,88,
HSB 234,88,
HSB 132,88,
HF 554,88,
HSB 180,88,
SF 422,88,
SF 453,88,
SF 381,88,
SF 382,88,
SSB 1228,88,
SF 183,88,
SSB 1035,88,
HF 542,88,
SF 201,88,
SF 446,88,
HSB 201,88,
SF 380,88,
HSB 100,88,
SSB 1141,88,
HSB 210,88,
SF 361,88,
SF 297,88,
HSB 220,88,
HF 488,88,
SF 134,88,
SSB 1213,88,
SF 426,88,
SF 379,88,
HSB 213,88,
HSB 207,88,
SF 416,88,
HF 569,88,
SF 406,88,
SSB 1190,88,
HSB 224,88,
HF 417,88,
HSB 228,88,
HSB 231,88,
SF 418,88,
SR 8,88,
HF 545,88,
HF 551,88,
SF 391,88,
SSB 1208,88,
SSB 1212,88,
HSB 200,88,
SF 347,88,
HF 323,88,
HF 519,88,
HF 525,88,
HF 527,88,
HF 536,88,
HF 540,88,
HSB 208,88,
SSB 1203,88,
SJR 16,88,
HF 400,88,
HF 462,88,
HF 467,88,
HF 498,88,
HSB 209,88,
SSB 1132,88,
SSB 1157,88,
SSB 1206,88,
HF 207,88,
HF 308,88,
HF 376,88,
SF 358,88,
HSB 126,88,
HF 223,88,
HF 468,88,
SSB 1199,88,
HSB 211,88,
HF 550,88,
HF 520,88,
SSB 1174,88,
HSB 206,88,
SSB 1197,88,
HF 484,88,
HF 514,88,
HF 515,88,
HF 522,88,
HF 529,88,
HF 567,88,
SF 378,88,
SF 392,88,
HSB 212,88,
SF 400,88,
SSB 1167,88,
HF 274,88,
HF 402,88,
HF 427,88,
HF 445,88,
HF 448,88,
HF 490,88,
HF 491,88,
SF 239,88,
SSB 1214,88,
HF 557,88,
SF 213,88,
SF 318,88,
SF 431,88,
SF 125,88,
SF 423,88,
SF 351,88,
HF 555,88,
HF 559,88,
SF 398,88,
HF 543,88,
HSB 217,88,
SF 326,88,
SSB 1219,88,
SF 415,88,
SSB 1113,88,
SF 137,88,
HSB 196,88,
HSB 229,88,
SF 410,88,
SSB 1063,88,
HSB 154,88,
SF 251,88,
SSB 1210,88,
SF 404,88,
SF 397,88,
SF 372,88,
SF 342,88,
HF 349,88,
HF 443,88,
SF 352,88,
HSB 192,88,
SSB 1204,88,
SSB 1205,88,
HF 556,88,
SF 353,88,
HSB 221,88,
SF 241,88,
SSB 1178,88,
HSB 78,88,
SF 20,88,
SF 360,88,
HF 552,88,
SF 408,88,
HF 353,88,
HSB 215,88,
HSB 167,88,
SF 291,88,
SSB 1200,88,
HSB 219,88,
HSB 177,88,
SF 315,88,
HF 259,88,
SSB 1169,88,
HSB 2,88,
HF 439,88,
SF 402,88,
SF 403,88,
SSB 1087,88,
HF 276,88,
SSB 1198,88,
HSB 190,88,
SF 363,88,
SSB 1171,88,
HF 547,88,
SSB 1116,88,
SSB 1108,88,
SSB 1131,88,
HF 340,88,
SF 84,88,
SF 349,88,
SF 36,88,
SF 49,88,
SSB 1152,88,
HF 453,88,
HSB 59,88,
SSB 1118,88,
HSB 22,88,
HF 521,88,
HF 444,88,
SSB 1182,88,
HF 408,88,
HSB 145,88,
HSB 184,88,
SSB 1209,88,
SSB 1202,88,
HSB 198,88,
SF 355,88,
HSB 193,88,
SF 370,88,
HJR 11,88,
SF 386,88,
HF 429,88,
SSB 1194,88,
HF 176,88,
HF 325,88,
HF 454,88,
SF 374,88,
HF 197,88,
SF 295,88,
HSB 191,88,
SF 8,88,
SSB 1133,88,
HF 348,88,
HSB 52,88,
HSB 94,88,
SF 197,88,
SF 272,88,
SF 278,88,
HSB 166,88,
SF 28,88,
SF 54,88,
SF 99,88,
HF 494,88,
HSB 160,88,
HSB 183,88,
HF 334,88,
HF 509,88,
HF 510,88,
SF 284,88,
SF 373,88,
SSB 1163,88,
SSB 1147,88,
SF 232,88,
HSB 110,88,
SF 65,88,
HF 172,88,
HF 438,88,
SF 69,88,
HF 385,88,
HF 456,88,
HF 516,88,
HSB 118,88,
SF 258,88,
SSB 1012,88,
SSB 1106,88,
SF 293,88,
SF 194,88,
HSB 199,88,
HF 215,88,
HF 347,88,
HF 71,88,
SF 233,88,
SSB 1071,88,
SSB 1095,88,
SF 267,88,
HF 269,88,
HF 228,88,
SF 170,88,
HF 114,88,
HSB 173,88,
HF 350,88,
HSB 163,88,
SF 285,88,
SF 288,88,
SF 290,88,
HSB 181,88,
HF 219,88,
HF 179,88,
SF 179,88,
HF 451,88,
SF 299,88,
HSB 203,88,
HSB 202,88,
HF 369,88,
HSB 32,88,
HF 506,88,
SF 354,88,
HSB 188,88,
SF 265,88,
SSB 1186,88,
SSB 1187,88,
SSB 1188,88,
HF 463,88,
SF 309,88,
SF 312,88,
HF 432,88,
SF 289,88,
SF 294,88,
SSB 1181,88,
HSB 182,88,
HSB 187,88,
SF 301,88,
HSB 169,88,
SSB 1192,88,
HF 149,88,
HF 372,88,
HSB 186,88,
SSB 1120,88,
SF 324,88,
HF 459,88,
HF 461,88,
HF 406,88,
HF 428,88,
SSB 1164,88,
HF 106,88,
SF 157,88,
HF 332,88,
SF 261,88,
HSB 195,88,
HSB 122,88,
HF 496,88,
HSB 36,88,
SF 55,88,
SF 340,88,
SF 356,88,
HF 302,88,
HF 502,88,
SSB 1146,88,
HF 397,88,
HF 407,88,
HF 412,88,
HF 473,88,
HF 336,88,
HF 337,88,
HF 460,88,
HSB 175,88,
HSB 178,88,
SF 310,88,
SF 328,88,
SF 339,88,
SF 344,88,
SF 364,88,
SF 254,88,
SSB 1159,88,
SSB 1024,88,
SSB 1135,88,
SSB 1137,88,
SSB 1144,88,
SSB 1145,88,
HF 470,88,
HSB 130,88,
SF 287,88,
SF 298,88,
HF 154,88,
HF 187,88,
HSB 80,88,
HSB 81,88,
SSB 1119,88,
SF 211,88,
HF 21,88,
HF 382,88,
SF 249,88,
SF 250,88,
HF 318,88,
HF 430,88,
HF 431,88,
SF 270,88,
SF 189,88,
SF 86,88,
HF 464,88,
SF 259,88,
SF 359,88,
HF 440,88,
HF 435,88,
HSB 42,88,
SF 306,88,
HF 497,88,
SF 338,88,
HF 450,88,
HF 469,88,
SF 240,88,
HF 296,88,
HF 449,88,
HF 118,88,
SF 277,88,
SSB 1020,88,
HF 330,88,
SF 320,88,
SF 330,88,
HSB 189,88,
HF 364,88,
HF 379,88,
HF 8,88,
HF 446,88,
SSB 1150,88,
HF 261,88,
HJR 12,88,
SSB 1149,88,
HF 395,88,
SF 63,88,
HSB 38,88,
SF 67,88,
SF 333,88,
HF 420,88,
SF 325,88,
SF 327,88,
HF 268,88,
SSB 1125,88,
SF 317,88,
HSB 174,88,
HJR 10,88,
SSB 1179,88,
HSB 119,88,
SSB 1180,88,
SF 126,88,
SF 142,88,
SF 146,88,
SF 238,88,
SF 44,88,
SSB 1109,88,
HF 57,88,
SF 51,88,
SJR 17,88,
HF 205,88,
HF 209,88,
HSB 137,88,
SSB 1074,88,
SF 313,88,
HSB 99,88,
SF 106,88,
HF 410,88,
SF 66,88,
HF 141,88,
HF 181,88,
HF 198,88,
HF 199,88,
HF 201,88,
HF 270,88,
SF 25,88,
SF 59,88,
HSB 159,88,
SF 156,88,
HF 375,88,
HF 87,88,
SF 89,88,
SF 235,88,
HF 333,88,
HSB 144,88,
SSB 1175,88,
SSB 1176,88,
SSB 1177,88,
SSB 1004,88,
HF 434,88,
SSB 1065,88,
HSB 65,88,
SSB 1170,88,
SSB 1018,88,
HSB 162,88,
HF 161,88,
HSB 79,88,
SSB 1165,88,
HSB 164,88,
HF 136,88,
HSB 17,88,
HF 101,88,
SSB 1161,88,
HSB 136,88,
HF 210,88,
SF 252,88,
HF 421,88,
SSB 1173,88,
SF 177,88,
HF 411,88,
HF 398,88,
HF 401,88,
SSB 1025,88,
SF 191,88,
SJR 9,88,
HF 374,88,
SF 175,88,
HF 338,88,
HF 233,88,
HF 257,88,
HSB 148,88,
HF 294,88,
HF 160,88,
SSB 1172,88,
HF 102,88,
HF 103,88,
HF 142,88,
SF 262,88,
HSB 158,88,
SF 276,88,
SF 1,88,
HF 403,88,
SF 281,88,
SF 282,88,
HF 230,88,
SF 79,88,
HF 92,88,
HF 32,88,
HF 11,88,
SF 165,88,
SSB 1138,88,
SF 268,88,
HF 391,88,
HJR 9,88,
HF 384,88,
HF 378,88,
SSB 1156,88,
SF 111,88,
SF 253,88,
HF 422,88,
HF 111,88,
HF 359,88,
HR 5,88,
HSB 146,88,
HSB 155,88,
HF 277,88,
SSB 1153,88,
SSB 1154,88,
HSB 156,88,
HF 283,88,
HSB 57,88,
HF 41,88,
HSB 56,88,
SF 212,88,
HSB 147,88,
HF 313,88,
SSB 1162,88,
HF 306,88,
HF 307,88,
HF 316,88,
SSB 1160,88,
SF 255,88,
SR 4,88,
HSB 135,88,
HF 125,88,
HF 127,88,
HF 51,88,
HSB 60,88,
HF 365,88,
HF 237,88,
SSB 1102,88,
HF 389,88,
HF 246,88,
HF 214,88,
SSB 1086,88,
HF 346,88,
HF 206,88,
HSB 168,88,
HSB 171,88,
SF 88,88,
SSB 1155,88,
HF 168,88,
SSB 1129,88,
SSB 1130,88,
SF 143,88,
SF 5,88,
HSB 116,88,
HF 383,88,
HJR 6,88,
HF 15,88,
SF 109,88,
SF 110,88,
HF 239,88,
SF 117,88,
HF 312,88,
HSB 150,88,
HSB 152,88,
HSB 161,88,
SF 247,88,
SF 223,88,
SF 234,88,
SF 242,88,
SSB 1151,88,
HF 361,88,
HF 354,88,
HSB 91,88,
SF 264,88,
HSB 95,88,
SSB 1076,88,
HSB 115,88,
HSB 133,88,
HF 362,88,
SSB 1148,88,
HSB 138,88,
HSB 141,88,
HSB 157,88,
SF 180,88,
SF 93,88,
SSB 1070,88,
HF 58,88,
HF 135,88,
SSB 1075,88,
HSB 142,88,
HF 281,88,
HF 282,88,
HF 304,88,
SF 221,88,
HF 381,88,
SF 207,88,
HF 107,88,
HF 196,88,
SSB 1099,88,
HF 229,88,
HF 231,88,
HF 236,88,
HSB 111,88,
SF 171,88,
SF 172,88,
SF 186,88,
SF 13,88,
HCR 7,88,
HF 43,88,
SF 29,88,
HF 96,88,
HF 173,88,
HF 175,88,
HF 232,88,
SF 206,88,
SF 32,88,
SF 74,88,
HF 146,88,
HF 147,88,
HF 24,88,
HF 28,88,
HSB 43,88,
SJR 1,88,
SSB 1009,88,
SF 222,88,
HF 352,88,
HSB 117,88,
SSB 1098,88,
HF 100,88,
HF 13,88,
HF 79,88,
HJR 1,88,
HSB 77,88,
SF 11,88,
SF 85,88,
HF 335,88,
HSB 108,88,
SJR 13,88,
SJR 14,88,
SSB 1101,88,
HF 218,88,
SSB 1123,88,
HSB 105,88,
SSB 1142,88,
HF 344,88,
HF 52,88,
SSB 1066,88,
HF 105,88,
SSB 1128,88,
HF 45,88,
SSB 1139,88,
HSB 143,88,
SF 218,88,
HSB 149,88,
HF 203,88,
SF 34,88,
SJR 2,88,
SJR 3,88,
HF 18,88,
HSB 54,88,
SF 75,88,
SSB 1051,88,
SF 159,88,
SF 166,88,
SSB 1016,88,
SF 107,88,
SF 108,88,
SF 118,88,
SF 119,88,
SF 70,88,
HSB 14,88,
SF 53,88,
HF 110,88,
HF 133,88,
HF 138,88,
HF 86,88,
HF 90,88,
HF 91,88,
HF 23,88,
HF 26,88,
SF 130,88,
SF 139,88,
HF 119,88,
HF 185,88,
SF 129,88,
SF 21,88,
SF 30,88,
SF 31,88,
SF 73,88,
HF 29,88,
HF 54,88,
HSB 48,88,
HSB 49,88,
SF 27,88,
SF 35,88,
SSB 1078,88,
SSB 1112,88,
SSB 1126,88,
HF 193,88,
HSB 101,88,
HSB 61,88,
SSB 1080,88,
SSB 1104,88,
HF 174,88,
HF 317,88,
HSB 107,88,
HF 78,88,
HSB 85,88,
SF 120,88,
SF 33,88,
HF 328,88,
SSB 1140,88,
SSB 1143,88,
HF 324,88,
HSB 124,88,
SSB 1105,88,
HSB 128,88,
HF 159,88,
HSB 41,88,
HSB 129,88,
SF 217,88,
SF 225,88,
SF 17,88,
SF 148,88,
SSB 1030,88,
HF 275,88,
HF 322,88,
SSB 1110,88,
HSB 114,88,
HF 195,88,
HF 254,88,
HF 256,88,
HF 285,88,
HSB 74,88,
SSB 1111,88,
SF 149,88,
SF 155,88,
SF 176,88,
SSB 1085,88,
SSB 1088,88,
SF 127,88,
SF 128,88,
SF 135,88,
SF 145,88,
HF 235,88,
HF 241,88,
HF 250,88,
HF 251,88,
HF 252,88,
HSB 86,88,
HF 188,88,
HF 213,88,
HF 226,88,
HF 162,88,
HF 163,88,
HF 165,88,
HF 167,88,
HF 170,88,
HF 171,88,
HF 75,88,
HSB 123,88,
SSB 1037,88,
SF 178,88,
HF 284,88,
SF 163,88,
HF 266,88,
HF 265,88,
HSB 113,88,
HSB 71,88,
SSB 1107,88,
SF 202,88,
SSB 1121,88,
HF 300,88,
HF 293,88,
HF 297,88,
HF 248,88,
HF 249,88,
HF 320,88,
SF 215,88,
HF 244,88,
SCR 4,88,
SF 181,88,
HF 27,88,
HF 305,88,
HSB 5,88,
HF 271,88,
SSB 1114,88,
SSB 1103,88,
SF 190,88,
HF 295,88,
HF 301,88,
HF 243,88,
SF 196,88,
SSB 1127,88,
HF 291,88,
HF 44,88,
HSB 46,88,
HF 279,88,
HF 289,88,
SSB 1124,88,
SSB 1048,88,
HSB 92,88,
SSB 1094,88,
SF 151,88,
SSB 1091,88,
SSB 1052,88,
SSB 1117,88,
SSB 1055,88,
HSB 127,88,
HSB 18,88,
HF 200,88,
HF 202,88,
HF 208,88,
HF 212,88,
SF 147,88,
SSB 1072,88,
HF 144,88,
HSB 125,88,
SF 193,88,
HJR 3,88,
SJR 10,88,
HSB 102,88,
HSB 103,88,
SSB 1079,88,
SSB 1081,88,
SSB 1100,88,
HF 184,88,
SF 18,88,
HSB 76,88,
HSB 24,88,
SF 60,88,
HSB 82,88,
HF 211,88,
HF 216,88,
HSB 1,88,
HSB 67,88,
HSB 40,88,
HSB 93,88,
SF 141,88,
HSB 120,88,
SSB 1115,88,
HF 17,88,
HSB 45,88,
HSB 88,88,
SF 42,88,
SSB 1047,88,
SSB 1049,88,
SSB 1050,88,
HCR 3,88,
SF 121,88,
HF 189,88,
SSB 1060,88,
HF 68,88,
SJR 5,88,
HF 143,88,
HF 186,88,
HF 191,88,
HF 192,88,
HF 220,88,
SSB 1084,88,
SF 104,88,
SF 161,88,
HF 221,88,
SF 168,88,
SF 105,88,
SSB 1041,88,
SSB 1046,88,
HF 76,88,
SF 97,88,
HF 3,88,
HSB 26,88,
SSB 1054,88,
HF 49,88,
HSB 109,88,
HF 177,88,
HSB 33,88,
SSB 1096,88,
HSB 106,88,
HSB 112,88,
HSB 13,88,
SSB 1083,88,
HF 183,88,
HF 222,88,
SF 144,88,
SSB 1015,88,
SSB 1036,88,
HF 61,88,
SSB 1042,88,
SSB 1027,88,
SF 45,88,
HF 164,88,
HF 97,88,
SF 160,88,
SCR 1,88,
HSB 84,88,
SF 152,88,
SF 153,88,
HSB 73,88,
SSB 1056,88,
HSB 39,88,
SF 138,88,
HF 178,88,
HF 93,88,
HSB 72,88,
SF 113,88,
SF 114,88,
SF 158,88,
SSB 1090,88,
SSB 1057,88,
SSB 1058,88,
SSB 1064,88,
SSB 1067,88,
SSB 1068,88,
SSB 1069,88,
SSB 1089,88,
HF 117,88,
SF 101,88,
SF 136,88,
SF 72,88,
HF 134,88,
HF 190,88,
HSB 64,88,
SSB 1077,88,
SSB 1082,88,
HF 120,88,
HF 153,88,
HSB 51,88,
HF 6,88,
HSB 83,88,
HSB 75,88,
SSB 1038,88,
HF 169,88,
HSB 23,88,
HF 157,88,
SF 7,88,
SF 43,88,
SF 58,88,
HSB 37,88,
SF 23,88,
SF 91,88,
HF 50,88,
HF 148,88,
HF 156,88,
HF 77,88,
HF 81,88,
HF 82,88,
HSB 87,88,
SF 132,88,
SF 150,88,
HF 126,88,
HF 131,88,
SSB 1053,88,
SSB 1059,88,
HSB 12,88,
SSB 1021,88,
SF 77,88,
SF 4,88,
SJR 4,88,
SF 81,88,
HSB 63,88,
SF 95,88,
SF 100,88,
HF 152,88,
HF 137,88,
HSB 55,88,
HF 88,88,
HF 124,88,
HF 123,88,
SSB 1061,88,
SSB 1062,88,
HSB 27,88,
HSB 29,88,
SF 83,88,
SSB 1043,88,
SSB 1045,88,
HF 60,88,
HSB 89,88,
HSB 90,88,
HF 122,88,
SF 112,88,
HSB 66,88,
HF 150,88,
HSB 10,88,
HF 139,88,
SF 124,88,
HF 89,88,
HF 94,88,
HF 132,88,
HF 140,88,
SF 57,88,
HSB 47,88,
SF 94,88,
SSB 1002,88,
SSB 1008,88,
SSB 1011,88,
HF 4,88,
SF 52,88,
SSB 1029,88,
HSB 8,88,
HF 34,88,
HF 14,88,
HF 16,88,
HF 33,88,
HF 35,88,
HF 46,88,
HF 47,88,
HF 48,88,
HF 62,88,
HSB 28,88,
HSB 7,88,
SF 14,88,
SF 87,88,
SSB 1032,88,
HF 39,88,
HSB 34,88,
SF 96,88,
HF 128,88,
HSB 31,88,
HSB 3,88,
HSB 44,88,
HF 59,88,
HSB 30,88,
HF 40,88,
HSB 20,88,
HSB 21,88,
HSB 25,88,
SF 78,88,
HF 104,88,
HF 70,88,
SF 80,88,
HJR 2,88,
HSB 35,88,
SSB 1044,88,
HF 112,88,
HF 95,88,
HF 9,88,
SSB 1028,88,
HF 121,88,
HF 80,88,
HF 84,88,
HSB 50,88,
HSB 53,88,
HF 85,88,
SF 90,88,
SJR 7,88,
HF 113,88,
HF 63,88,
HF 7,88,
HSB 9,88,
SF 2,88,
SSB 1031,88,
SSB 1040,88,
SF 82,88,
SSB 1033,88,
HSB 19,88,
SF 46,88,
SSB 1019,88,
HSB 11,88,
SF 3,88,
HF 42,88,
SF 62,88,
HSB 4,88,
SF 37,88,
SF 71,88,
SF 24,88,
HF 55,88,
HF 56,88,
HF 5,88,
HSB 6,88,
SSB 1005,88,
SSB 1014,88,
SF 47,88,
SF 50,88,
SF 6,88,
HF 22,88,
SF 39,88,
SSB 1006,88,
SSB 1010,88,
HF 10,88,
SF 15,88,
SSB 1001,88,
SF 56,88,
SSB 1013,88,
HF 30,88,
HF 36,88,
