state,year_or_session,bill_code,legiscan_title,download_link,filename,empath_environment,empath_energy,empath_social,empath_governance,empath_immigration
Iowa,85,SCR 5,Iowa Senate Concurrent Resolution 5,https://legiscan.com/IA/text/SCR5/id/797679/Iowa-2013-SCR5-Introduced.html,iowa_general_assembly_85_SCR5.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 398,Iowa House Bill 398,https://legiscan.com/IA/text/HF398/id/1019457/Iowa-2013-HF398-Enrolled.html,iowa_general_assembly_85_HF398.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HSB 131,Iowa House Study Bill 131,https://legiscan.com/IA/text/HSB131/id/734740/Iowa-2013-HSB131-Introduced.html,iowa_general_assembly_85_HSB131.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2364,Iowa Senate Bill 2364,https://legiscan.com/IA/text/SF2364/id/1019227/Iowa-2013-SF2364-Enrolled.html,iowa_general_assembly_85_SF2364.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2363,Iowa Senate Bill 2363,https://legiscan.com/IA/text/SF2363/id/1019690/Iowa-2013-SF2363-Enrolled.html,iowa_general_assembly_85_SF2363.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2474,Iowa House Bill 2474,https://legiscan.com/IA/text/HF2474/id/1043892/Iowa-2013-HF2474-Chaptered.html,,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2357,Iowa Senate Bill 2357,https://legiscan.com/IA/text/SF2357/id/1014035/Iowa-2013-SF2357-Introduced.html,iowa_general_assembly_85_SF2357.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2473,Iowa House Bill 2473,https://legiscan.com/IA/text/HF2473/id/1019928/Iowa-2013-HF2473-Enrolled.html,iowa_general_assembly_85_HF2473.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2460,Iowa House Bill 2460,https://legiscan.com/IA/text/HF2460/id/1019348/Iowa-2013-HF2460-Enrolled.html,iowa_general_assembly_85_HF2460.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2361,Iowa Senate Bill 2361,https://legiscan.com/IA/text/SF2361/id/1014749/Iowa-2013-SF2361-Introduced.html,iowa_general_assembly_85_SF2361.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2360,Iowa Senate Bill 2360,https://legiscan.com/IA/text/SF2360/id/1019815/Iowa-2013-SF2360-Enrolled.html,iowa_general_assembly_85_SF2360.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2354,Iowa Senate Bill 2354,https://legiscan.com/IA/text/SF2354/id/1011082/Iowa-2013-SF2354-Introduced.html,iowa_general_assembly_85_SF2354.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2358,Iowa Senate Bill 2358,https://legiscan.com/IA/text/SF2358/id/1014043/Iowa-2013-SF2358-Introduced.html,iowa_general_assembly_85_SF2358.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2362,Iowa Senate Bill 2362,https://legiscan.com/IA/text/SF2362/id/1019373/Iowa-2013-SF2362-Enrolled.html,iowa_general_assembly_85_SF2362.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2475,Iowa House Bill 2475,https://legiscan.com/IA/text/HF2475/id/1014746/Iowa-2013-HF2475-Introduced.html,iowa_general_assembly_85_HF2475.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2318,Iowa Senate Bill 2318,https://legiscan.com/IA/text/SF2318/id/991451/Iowa-2013-SF2318-Amended.html,iowa_general_assembly_85_SF2318.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2470,Iowa House Bill 2470,https://legiscan.com/IA/text/HF2470/id/1010421/Iowa-2013-HF2470-Introduced.html,iowa_general_assembly_85_HF2470.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SSB 3223,Iowa Senate Study Bill 3223,https://legiscan.com/IA/text/SSB3223/id/1013924/Iowa-2013-SSB3223-Introduced.html,iowa_general_assembly_85_SSB3223.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2359,Iowa Senate Bill 2359,https://legiscan.com/IA/text/SF2359/id/1019120/Iowa-2013-SF2359-Enrolled.html,iowa_general_assembly_85_SF2359.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SSB 3222,Iowa Senate Study Bill 3222,https://legiscan.com/IA/text/SSB3222/id/1013828/Iowa-2013-SSB3222-Introduced.html,iowa_general_assembly_85_SSB3222.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SSB 3221,Iowa Senate Study Bill 3221,https://legiscan.com/IA/text/SSB3221/id/1012721/Iowa-2013-SSB3221-Introduced.html,iowa_general_assembly_85_SSB3221.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2471,Iowa House Bill 2471,https://legiscan.com/IA/text/HF2471/id/1014027/Iowa-2013-HF2471-Amended.html,iowa_general_assembly_85_HF2471.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2355,Iowa Senate Bill 2355,https://legiscan.com/IA/text/SF2355/id/1019264/Iowa-2013-SF2355-Enrolled.html,iowa_general_assembly_85_SF2355.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2472,Iowa House Bill 2472,https://legiscan.com/IA/text/HF2472/id/1011084/Iowa-2013-HF2472-Introduced.html,iowa_general_assembly_85_HF2472.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HSB 688,Iowa House Study Bill 688,https://legiscan.com/IA/text/HSB688/id/1007654/Iowa-2013-HSB688-Introduced.html,iowa_general_assembly_85_HSB688.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2463,Iowa House Bill 2463,https://legiscan.com/IA/text/HF2463/id/1020006/Iowa-2013-HF2463-Enrolled.html,iowa_general_assembly_85_HF2463.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HSB 689,Iowa House Study Bill 689,https://legiscan.com/IA/text/HSB689/id/1010031/Iowa-2013-HSB689-Introduced.html,iowa_general_assembly_85_HSB689.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2454,Iowa House Bill 2454,https://legiscan.com/IA/text/HF2454/id/1043931/Iowa-2013-HF2454-Chaptered.html,,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2468,Iowa House Bill 2468,https://legiscan.com/IA/text/HF2468/id/1043925/Iowa-2013-HF2468-Chaptered.html,,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2239,Iowa Senate Bill 2239,https://legiscan.com/IA/text/SF2239/id/1019439/Iowa-2013-SF2239-Enrolled.html,iowa_general_assembly_85_SF2239.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SSB 3217,Iowa Senate Study Bill 3217,https://legiscan.com/IA/text/SSB3217/id/1005944/Iowa-2013-SSB3217-Introduced.html,iowa_general_assembly_85_SSB3217.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2458,Iowa House Bill 2458,https://legiscan.com/IA/text/HF2458/id/1019863/Iowa-2013-HF2458-Enrolled.html,iowa_general_assembly_85_HF2458.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2353,Iowa Senate Bill 2353,https://legiscan.com/IA/text/SF2353/id/1014533/Iowa-2013-SF2353-Amended.html,iowa_general_assembly_85_SF2353.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2342,Iowa Senate Bill 2342,https://legiscan.com/IA/text/SF2342/id/1019970/Iowa-2013-SF2342-Enrolled.html,iowa_general_assembly_85_SF2342.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2419,Iowa House Bill 2419,https://legiscan.com/IA/text/HF2419/id/972005/Iowa-2013-HF2419-Introduced.html,iowa_general_assembly_85_HF2419.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2345,Iowa Senate Bill 2345,https://legiscan.com/IA/text/SF2345/id/996883/Iowa-2013-SF2345-Introduced.html,iowa_general_assembly_85_SF2345.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2465,Iowa House Bill 2465,https://legiscan.com/IA/text/HF2465/id/1011023/Iowa-2013-HF2465-Amended.html,iowa_general_assembly_85_HF2465.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SSB 3220,Iowa Senate Study Bill 3220,https://legiscan.com/IA/text/SSB3220/id/1010725/Iowa-2013-SSB3220-Introduced.html,iowa_general_assembly_85_SSB3220.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2349,Iowa Senate Bill 2349,https://legiscan.com/IA/text/SF2349/id/1021918/Iowa-2013-SF2349-Enrolled.html,iowa_general_assembly_85_SF2349.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2323,Iowa Senate Bill 2323,https://legiscan.com/IA/text/SF2323/id/968596/Iowa-2013-SF2323-Introduced.html,iowa_general_assembly_85_SF2323.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HR 126,Iowa House Resolution 126,https://legiscan.com/IA/text/HR126/id/1010423/Iowa-2013-HR126-Introduced.html,iowa_general_assembly_85_HR126.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2343,Iowa Senate Bill 2343,https://legiscan.com/IA/text/SF2343/id/1043844/Iowa-2013-SF2343-Chaptered.html,,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2350,Iowa Senate Bill 2350,https://legiscan.com/IA/text/SF2350/id/1007668/Iowa-2013-SF2350-Introduced.html,iowa_general_assembly_85_SF2350.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2466,Iowa House Bill 2466,https://legiscan.com/IA/text/HF2466/id/1015159/Iowa-2013-HF2466-Enrolled.html,iowa_general_assembly_85_HF2466.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2453,Iowa House Bill 2453,https://legiscan.com/IA/text/HF2453/id/1015094/Iowa-2013-HF2453-Enrolled.html,iowa_general_assembly_85_HF2453.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2340,Iowa Senate Bill 2340,https://legiscan.com/IA/text/SF2340/id/1043847/Iowa-2013-SF2340-Chaptered.html,,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2445,Iowa House Bill 2445,https://legiscan.com/IA/text/HF2445/id/986872/Iowa-2013-HF2445-Introduced.html,iowa_general_assembly_85_HF2445.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2344,Iowa Senate Bill 2344,https://legiscan.com/IA/text/SF2344/id/1043941/Iowa-2013-SF2344-Chaptered.html,,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2351,Iowa Senate Bill 2351,https://legiscan.com/IA/text/SF2351/id/1007676/Iowa-2013-SF2351-Introduced.html,iowa_general_assembly_85_SF2351.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2469,Iowa House Bill 2469,https://legiscan.com/IA/text/HF2469/id/1008698/Iowa-2013-HF2469-Introduced.html,iowa_general_assembly_85_HF2469.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2352,Iowa Senate Bill 2352,https://legiscan.com/IA/text/SF2352/id/1043939/Iowa-2013-SF2352-Chaptered.html,,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2467,Iowa House Bill 2467,https://legiscan.com/IA/text/HF2467/id/1006828/Iowa-2013-HF2467-Introduced.html,iowa_general_assembly_85_HF2467.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2430,Iowa House Bill 2430,https://legiscan.com/IA/text/HF2430/id/977529/Iowa-2013-HF2430-Introduced.html,iowa_general_assembly_85_HF2430.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SSB 3219,Iowa Senate Study Bill 3219,https://legiscan.com/IA/text/SSB3219/id/1005931/Iowa-2013-SSB3219-Introduced.html,iowa_general_assembly_85_SSB3219.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2347,Iowa Senate Bill 2347,https://legiscan.com/IA/text/SF2347/id/1015623/Iowa-2013-SF2347-Enrolled.html,iowa_general_assembly_85_SF2347.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2407,Iowa House Bill 2407,https://legiscan.com/IA/text/HF2407/id/970111/Iowa-2013-HF2407-Introduced.html,iowa_general_assembly_85_HF2407.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2130,Iowa Senate Bill 2130,https://legiscan.com/IA/text/SF2130/id/1010608/Iowa-2013-SF2130-Enrolled.html,iowa_general_assembly_85_SF2130.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2310,Iowa Senate Bill 2310,https://legiscan.com/IA/text/SF2310/id/1009796/Iowa-2013-SF2310-Enrolled.html,iowa_general_assembly_85_SF2310.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2348,Iowa Senate Bill 2348,https://legiscan.com/IA/text/SF2348/id/1004321/Iowa-2013-SF2348-Introduced.html,iowa_general_assembly_85_SF2348.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2346,Iowa Senate Bill 2346,https://legiscan.com/IA/text/SF2346/id/1000811/Iowa-2013-SF2346-Introduced.html,iowa_general_assembly_85_SF2346.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SF 2268,Iowa Senate Bill 2268,https://legiscan.com/IA/text/SF2268/id/968533/Iowa-2013-SF2268-Introduced.html,iowa_general_assembly_85_SF2268.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2456,Iowa House Bill 2456,https://legiscan.com/IA/text/HF2456/id/1015045/Iowa-2013-HF2456-Enrolled.html,iowa_general_assembly_85_HF2456.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,HF 2444,Iowa House Bill 2444,https://legiscan.com/IA/text/HF2444/id/1020467/Iowa-2013-HF2444-Enrolled.html,iowa_general_assembly_85_HF2444.txt,0.0,0.0,0.0,0.0,0.0
Iowa,85,SSB 3218,Iowa Senate Study Bill 3218,https://legiscan.com/IA/text/SSB3218/id/1005956/Iowa-2013-SSB3218-Introduced.html,iowa_general_assembly_85_SSB3218.txt,0.0,0.0,0.0,0.0,0.0
