state,year_or_session,bill_code,legiscan_title,download_link,filename,empath_environment,empath_energy,empath_social,empath_governance,empath_immigration
Iowa,86,HF 2100,Iowa House Bill 2100,https://legiscan.com/IA/text/HF2100/id/1315017/Iowa-2015-HF2100-Introduced.html,iowa_general_assembly_86_HF2100.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,SSB 3080,Iowa Senate Study Bill 3080,https://legiscan.com/IA/text/SSB3080/id/1322251/Iowa-2015-SSB3080-Introduced.html,iowa_general_assembly_86_SSB3080.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2265,Iowa House Bill 2265,https://legiscan.com/IA/text/HF2265/id/1370479/Iowa-2015-HF2265-Enrolled.html,iowa_general_assembly_86_HF2265.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2273,Iowa House Bill 2273,https://legiscan.com/IA/text/HF2273/id/1394808/Iowa-2015-HF2273-Enrolled.html,iowa_general_assembly_86_HF2273.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2077,Iowa House Bill 2077,https://legiscan.com/IA/text/HF2077/id/1301142/Iowa-2015-HF2077-Introduced.html,iowa_general_assembly_86_HF2077.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 416,Iowa Senate Bill 416,https://legiscan.com/IA/text/SF416/id/1155252/Iowa-2015-SF416-Introduced.html,iowa_general_assembly_86_SF416.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2468,Iowa House Bill 2468,https://legiscan.com/IA/text/HF2468/id/1401400/Iowa-2015-HF2468-Enrolled.html,iowa_general_assembly_86_HF2468.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 2327,Iowa Senate Bill 2327,https://legiscan.com/IA/text/SF2327/id/1399821/Iowa-2015-SF2327-Introduced.html,iowa_general_assembly_86_SF2327.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 493,Iowa House Bill 493,https://legiscan.com/IA/text/HF493/id/1397601/Iowa-2015-HF493-Enrolled.html,iowa_general_assembly_86_HF493.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2466,Iowa House Bill 2466,https://legiscan.com/IA/text/HF2466/id/1399859/Iowa-2015-HF2466-Introduced.html,iowa_general_assembly_86_HF2466.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2357,Iowa House Bill 2357,https://legiscan.com/IA/text/HF2357/id/1370425/Iowa-2015-HF2357-Enrolled.html,iowa_general_assembly_86_HF2357.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2456,Iowa House Bill 2456,https://legiscan.com/IA/text/HF2456/id/1400253/Iowa-2015-HF2456-Enrolled.html,iowa_general_assembly_86_HF2456.txt,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2458,Iowa House Bill 2458,https://legiscan.com/IA/text/HF2458/id/1400142/Iowa-2015-HF2458-Enrolled.html,iowa_general_assembly_86_HF2458.txt,0.0,0.0,0.0,0.0,0.0
