state,year_or_session,bill_code,legiscan_title,download_link,filename,empath_environment_500,empath_energy_500,empath_social_500,empath_governance_500,empath_immigration_500,empath_environment_1000,empath_energy_1000,empath_social_1000,empath_governance_1000,empath_immigration_1000,empath_environment_5000,empath_energy_5000,empath_social_5000,empath_governance_5000,empath_immigration_5000
Iowa,86,HF 2429,Iowa House Bill 2429,https://legiscan.com/IA/text/HF2429/id/1386771/Iowa-2015-HF2429-Enrolled.html,iowa_general_assembly_86_HF2429.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 166,Iowa Senate Bill 166,https://legiscan.com/IA/text/SF166/id/1167424/Iowa-2015-SF166-Amended.html,iowa_general_assembly_86_SF166.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2272,Iowa House Bill 2272,https://legiscan.com/IA/text/HF2272/id/1338443/Iowa-2015-HF2272-Introduced.html,iowa_general_assembly_86_HF2272.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 2303,Iowa Senate Bill 2303,https://legiscan.com/IA/text/SF2303/id/1365373/Iowa-2015-SF2303-Introduced.html,iowa_general_assembly_86_SF2303.txt,0.0009694309166152228,0.00041155086082721724,0.00022406657978370716,0.0003338134760042984,0.0,0.0009694309166152228,0.00041155086082721724,0.00022406657978370716,0.0003338134760042984,0.0,0.0009694309166152228,0.00041155086082721724,0.00022406657978370716,0.0003338134760042984,0.0
Iowa,86,SF 2179,Iowa Senate Bill 2179,https://legiscan.com/IA/text/SF2179/id/1338436/Iowa-2015-SF2179-Introduced.html,iowa_general_assembly_86_SF2179.txt,0.0,0.0,0.005615433384657187,0.0,0.0,0.0,0.0,0.005615433384657187,0.0,0.0,0.0,0.0,0.005615433384657187,0.0,0.0
Iowa,86,SF 2218,Iowa Senate Bill 2218,https://legiscan.com/IA/text/SF2218/id/1379245/Iowa-2015-SF2218-Enrolled.html,iowa_general_assembly_86_SF2218.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2267,Iowa House Bill 2267,https://legiscan.com/IA/text/HF2267/id/1370277/Iowa-2015-HF2267-Enrolled.html,iowa_general_assembly_86_HF2267.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SSB 1103,Iowa Senate Study Bill 1103,https://legiscan.com/IA/text/SSB1103/id/1095525/Iowa-2015-SSB1103-Introduced.html,iowa_general_assembly_86_SSB1103.txt,0.0020242914979757085,0.016194331983805668,0.0,0.0,0.0,0.0020242914979757085,0.022267206477732792,0.0,0.0,0.0,0.0020242914979757085,0.022267206477732792,0.0,0.0,0.0
Iowa,86,HF 2260,Iowa House Bill 2260,https://legiscan.com/IA/text/HF2260/id/1338509/Iowa-2015-HF2260-Introduced.html,iowa_general_assembly_86_HF2260.txt,0.0017942583732057417,0.0,0.0,0.003830984094141989,0.0,0.0017942583732057417,0.0,0.0,0.003830984094141989,0.0,0.0017942583732057417,0.0,0.0,0.003830984094141989,0.0
Iowa,86,HF 2211,Iowa House Bill 2211,https://legiscan.com/IA/text/HF2211/id/1330726/Iowa-2015-HF2211-Introduced.html,iowa_general_assembly_86_HF2211.txt,0.04282310344368569,0.006775554756865408,0.014815702248312766,0.0021098731413814677,0.0,0.04433395897394939,0.019002169774902492,0.014815702248312766,0.0021098731413814677,0.0,0.04433395897394939,0.019002169774902492,0.014815702248312766,0.0021098731413814677,0.0
Iowa,86,HR 106,Iowa House Resolution 106,https://legiscan.com/IA/text/HR106/id/1367525/Iowa-2015-HR106-Introduced.html,iowa_general_assembly_86_HR106.txt,0.005465240146357278,0.0035663007734704276,0.0015284146172016117,0.0,0.0,0.005465240146357278,0.0035663007734704276,0.0015284146172016117,0.0,0.0,0.005465240146357278,0.0035663007734704276,0.0015284146172016117,0.0,0.0
Iowa,86,HF 2243,Iowa House Bill 2243,https://legiscan.com/IA/text/HF2243/id/1335809/Iowa-2015-HF2243-Introduced.html,iowa_general_assembly_86_HF2243.txt,0.0,0.0,0.01912538949178038,0.0,0.0,0.0,0.0,0.01912538949178038,0.0,0.0,0.0,0.0,0.01912538949178038,0.0,0.0
Iowa,86,HF 2279,Iowa House Bill 2279,https://legiscan.com/IA/text/HF2279/id/1376343/Iowa-2015-HF2279-Enrolled.html,iowa_general_assembly_86_HF2279.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2280,Iowa House Bill 2280,https://legiscan.com/IA/text/HF2280/id/1338420/Iowa-2015-HF2280-Introduced.html,iowa_general_assembly_86_HF2280.txt,0.0,0.0,0.0,0.004687290745948842,0.0,0.0,0.0,0.0,0.004687290745948842,0.0,0.0,0.0,0.0,0.004687290745948842,0.0
Iowa,86,HF 2281,Iowa House Bill 2281,https://legiscan.com/IA/text/HF2281/id/1338524/Iowa-2015-HF2281-Introduced.html,iowa_general_assembly_86_HF2281.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2283,Iowa House Bill 2283,https://legiscan.com/IA/text/HF2283/id/1377970/Iowa-2015-HF2283-Enrolled.html,iowa_general_assembly_86_HF2283.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 2259,Iowa Senate Bill 2259,https://legiscan.com/IA/text/SF2259/id/1390400/Iowa-2015-SF2259-Enrolled.html,iowa_general_assembly_86_SF2259.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2432,Iowa House Bill 2432,https://legiscan.com/IA/text/HF2432/id/1374872/Iowa-2015-HF2432-Amended.html,iowa_general_assembly_86_HF2432.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2377,Iowa House Bill 2377,https://legiscan.com/IA/text/HF2377/id/1371545/Iowa-2015-HF2377-Enrolled.html,iowa_general_assembly_86_HF2377.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 232,Iowa Senate Bill 232,https://legiscan.com/IA/text/SF232/id/1181999/Iowa-2015-SF232-Amended.html,iowa_general_assembly_86_SF232.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 2146,Iowa Senate Bill 2146,https://legiscan.com/IA/text/SF2146/id/1333343/Iowa-2015-SF2146-Introduced.html,iowa_general_assembly_86_SF2146.txt,0.0,0.0,0.004092769440654843,0.0,0.0,0.0,0.0,0.004092769440654843,0.0,0.0,0.0,0.0,0.004092769440654843,0.0,0.0
Iowa,86,SF 2283,Iowa Senate Bill 2283,https://legiscan.com/IA/text/SF2283/id/1347153/Iowa-2015-SF2283-Introduced.html,iowa_general_assembly_86_SF2283.txt,0.0021950045461838798,0.0009755575760817244,0.00014517225834549468,0.0033123724967336243,7.182206465513948e-05,0.0028038111538138282,0.00146853200284232,0.00014517225834549468,0.0033123724967336243,7.182206465513948e-05,0.0028038111538138282,0.00146853200284232,0.00014517225834549468,0.0033123724967336243,7.182206465513948e-05
Iowa,86,SSB 3107,Iowa Senate Study Bill 3107,https://legiscan.com/IA/text/SSB3107/id/1323948/Iowa-2015-SSB3107-Introduced.html,iowa_general_assembly_86_SSB3107.txt,0.0,0.0,0.0011164867882396724,0.0003721622627465575,0.0,0.0,0.0,0.0011164867882396724,0.0003721622627465575,0.0,0.0,0.0,0.0011164867882396724,0.0003721622627465575,0.0
Iowa,86,HF 2268,Iowa House Bill 2268,https://legiscan.com/IA/text/HF2268/id/1369755/Iowa-2015-HF2268-Enrolled.html,iowa_general_assembly_86_HF2268.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2324,Iowa House Bill 2324,https://legiscan.com/IA/text/HF2324/id/1355872/Iowa-2015-HF2324-Amended.html,iowa_general_assembly_86_HF2324.txt,0.0,0.0,0.0025745738636363635,0.0,0.0,0.0,0.0,0.0025745738636363635,0.0,0.0,0.0,0.0,0.0025745738636363635,0.0,0.0
Iowa,86,HF 2336,Iowa House Bill 2336,https://legiscan.com/IA/text/HF2336/id/1371644/Iowa-2015-HF2336-Enrolled.html,iowa_general_assembly_86_HF2336.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,HF 2338,Iowa House Bill 2338,https://legiscan.com/IA/text/HF2338/id/1343309/Iowa-2015-HF2338-Introduced.html,iowa_general_assembly_86_HF2338.txt,0.0,0.0,0.0,0.00717612992572076,0.0,0.0,0.0,0.0,0.00717612992572076,0.0,0.0,0.0,0.0,0.00717612992572076,0.0
Iowa,86,HF 2359,Iowa House Bill 2359,https://legiscan.com/IA/text/HF2359/id/1377935/Iowa-2015-HF2359-Enrolled.html,iowa_general_assembly_86_HF2359.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 2296,Iowa Senate Bill 2296,https://legiscan.com/IA/text/SF2296/id/1360220/Iowa-2015-SF2296-Introduced.html,iowa_general_assembly_86_SF2296.txt,0.0,0.0,0.0033916782750893345,0.00013324450366422385,0.0,0.0,0.0,0.0033916782750893345,0.00013324450366422385,0.0,0.0,0.0,0.0033916782750893345,0.00013324450366422385,0.0
Iowa,86,HSB 642,Iowa House Study Bill 642,https://legiscan.com/IA/text/HSB642/id/1364092/Iowa-2015-HSB642-Introduced.html,iowa_general_assembly_86_HSB642.txt,0.000697350069735007,0.0003486750348675035,0.0003486750348675035,0.0003486750348675035,0.0,0.000697350069735007,0.0003486750348675035,0.0003486750348675035,0.0003486750348675035,0.0,0.000697350069735007,0.0003486750348675035,0.0003486750348675035,0.0003486750348675035,0.0
Iowa,86,SF 2187,Iowa Senate Bill 2187,https://legiscan.com/IA/text/SF2187/id/1397501/Iowa-2015-SF2187-Enrolled.html,iowa_general_assembly_86_SF2187.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,86,SF 2229,Iowa Senate Bill 2229,https://legiscan.com/IA/text/SF2229/id/1357056/Iowa-2015-SF2229-Amended.html,iowa_general_assembly_86_SF2229.txt,0.0,0.0,0.006039033754599264,0.0,0.0,0.0,0.0,0.006039033754599264,0.0,0.0,0.0,0.0,0.006039033754599264,0.0,0.0
