state,year_or_session,bill_code,legiscan_title,download_link,filename,empath_environment_500,empath_energy_500,empath_social_500,empath_governance_500,empath_immigration_500,empath_environment_1000,empath_energy_1000,empath_social_1000,empath_governance_1000,empath_immigration_1000,empath_environment_5000,empath_energy_5000,empath_social_5000,empath_governance_5000,empath_immigration_5000
Iowa,83,SSB 3034,Iowa Senate Study Bill 3034,https://legiscan.com/IA/text/SSB3034/id/2098512/Iowa-2019-SSB3034-Introduced.html,iowa_general_assembly_83_SSB3034.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3125,Iowa Senate Study Bill 3125,https://legiscan.com/IA/text/SSB3125/id/2125304/Iowa-2019-SSB3125-Introduced.html,iowa_general_assembly_83_SSB3125.txt,0.00028188865398167724,0.0008456659619450317,0.0008456659619450317,0.0033826638477801266,0.0,0.00028188865398167724,0.0008456659619450317,0.0008456659619450317,0.0033826638477801266,0.0,0.00028188865398167724,0.0008456659619450317,0.0008456659619450317,0.0033826638477801266,0.0
Iowa,83,HSB 727,Iowa House Study Bill 727,https://legiscan.com/IA/text/HSB727/id/2530758/Iowa-2021-HSB727-Introduced.html,iowa_general_assembly_83_HSB727.txt,0.0,0.0,0.0,0.009223300970873786,0.0,0.0,0.0,0.0,0.009223300970873786,0.0,0.0,0.0,0.0,0.009223300970873786,0.0
Iowa,83,HSB 602,Iowa House Study Bill 602,https://legiscan.com/IA/text/HSB602/id/2115132/Iowa-2019-HSB602-Introduced.html,iowa_general_assembly_83_HSB602.txt,0.0,0.0,0.0016207455429497568,0.0,0.0,0.0,0.0,0.0016207455429497568,0.0,0.0,0.0,0.0,0.0016207455429497568,0.0,0.0
Iowa,83,HSB 13,Iowa House Study Bill 13,https://legiscan.com/IA/text/HSB13/id/1856670/Iowa-2019-HSB13-Introduced.html,iowa_general_assembly_83_HSB13.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,83,HSB 652,Iowa House Study Bill 652,https://legiscan.com/IA/text/HSB652/id/2125205/Iowa-2019-HSB652-Introduced.html,iowa_general_assembly_83_HSB652.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,83,HSB 705,Iowa House Study Bill 705,https://legiscan.com/IA/text/HSB705/id/2141244/Iowa-2019-HSB705-Introduced.html,iowa_general_assembly_83_HSB705.txt,0.0,0.00228310502283105,0.0,0.0,0.0,0.0,0.00228310502283105,0.0,0.0,0.0,0.0,0.00228310502283105,0.0,0.0,0.0
Iowa,83,HSB 719,Iowa House Study Bill 719,https://legiscan.com/IA/text/HSB719/id/2516794/Iowa-2021-HSB719-Introduced.html,iowa_general_assembly_83_HSB719.txt,8.494733265375468e-05,0.0,8.494733265375468e-05,0.0007645259938837921,0.0,8.494733265375468e-05,0.0,8.494733265375468e-05,0.0007645259938837921,0.0,8.494733265375468e-05,0.0,8.494733265375468e-05,0.0007645259938837921,0.0
Iowa,83,SSB 3197,Iowa Senate Study Bill 3197,https://legiscan.com/IA/text/SSB3197/id/2162224/Iowa-2019-SSB3197-Introduced.html,iowa_general_assembly_83_SSB3197.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,83,SSB 3225,Iowa Senate Study Bill 3225,https://legiscan.com/IA/text/SSB3225/id/1017177/Iowa-2013-SSB3225-Introduced.html,iowa_general_assembly_83_SSB3225.txt,0.0037956204379562043,0.004671532846715329,0.0008759124087591241,0.0017518248175182481,0.0,0.0037956204379562043,0.004963503649635037,0.0008759124087591241,0.0017518248175182481,0.0,0.0037956204379562043,0.004963503649635037,0.0008759124087591241,0.0017518248175182481,0.0
